Area,Build_date,Room,Parking,Warehouse,Elevator,Price,Address
59,1386,2,1,1,0,5340000000,"شهرک پرواز"
55,1386,1,1,1,1,5940000000,"کوی فردوس"
148,1401,3,1,1,1,16200000000,ستارخان
95,1400,2,0,1,1,2900000000,"تهرانپارس شرقی"
120,1402,2,1,1,1,2820000000,چیتگر
61,1388,1,0,1,0,2790000000,جیحون
50,1389,1,0,1,0,3250000000,جیحون
79,1393,2,0,1,1,4000000000,سلسبیل
62,1385,2,1,1,0,4340000000,تهران‌سر
69,1385,2,1,1,0,4400000000,"دکتر هوشیار"
76,1389,2,1,1,1,2400000000,"اندیشه (شهر زیبا)"
145,1401,3,1,1,1,33350000000,سعادت‌آباد
65,1390,2,0,1,0,2950000000,"شهرک ولیعصر"
55,1394,1,1,1,0,1850000000,"اندیشه (شهر زیبا)"
75,1394,2,1,1,0,2300000000,"اندیشه (شهر زیبا)"
100,1401,2,1,1,1,4700000000,وردآورد
70,1388,2,1,1,0,6550000000,"شهرک نفت (منطقه ۵)"
196,1384,4,1,1,1,23520000000,"تجریشخیابان دربند (خ. دکتر شریعتی)"
59,1395,2,1,1,1,4300000000,آذربایجان
60,1398,1,1,1,1,6350000000,"شهر زیبا"
46,1390,1,1,1,1,2799000000,بریانک
106,1400,2,1,1,1,2700000000,"مبارک‌آباد بهشتی"
360,1398,4,1,1,1,75000000000,آجودانیه
350,1399,4,1,1,1,67000000000,فرمانیه
59,1386,2,1,1,0,5340000000,"شهرک پرواز"
55,1386,1,1,1,1,5940000000,"کوی فردوس"
80,1400,1,1,1,1,9100000000,پونک
175,1400,3,1,1,1,18500000000,پاسداران
140,1402,3,1,1,1,21000000000,پاسداران
113,1384,2,1,1,1,13400000000,"پاسدارانکوچه استاد نصیریان (خ. اختیاریه جنوبی)"
175,1401,3,1,1,1,27000000000,"سعادت‌آبادمیدان طهرانی مقدم (بلوار سعادت آباد)"
200,1402,3,1,1,1,59000000000,سعادت‌آباد
105,1402,2,1,1,1,13125000000,سهروردی
63,1387,2,1,1,1,6470000000,اباذر
88,1384,2,1,1,1,7830000000,بهار
86,1392,2,1,1,1,9650000000,"جنت‌آباد جنوبی"
94,1385,2,1,1,0,7500000000,"جنت‌آباد شمالی"
84,1393,2,1,1,1,8100000000,پونک
90,1396,2,1,1,1,9500000000,"جنت‌آباد مرکزی"
62,1397,2,1,1,1,4350000000,جیحون
111,1388,3,1,1,1,9450000000,"اندیشه (شهر زیبا)"
65,1398,1,1,0,1,4800000000,پیروزی
67,1395,1,1,1,1,7100000000,"پونکبزرگراه اشرفی اصفهانی"
53,1393,1,1,1,1,3225000000,بریانک
98,1396,2,1,1,1,10700000000,"سازمان برنامه"
90,1390,2,1,0,1,5050000000,چیتگر
120,1401,2,1,1,1,13200000000,حسین‌آباد
110,1378,2,1,1,0,7150000000,تهران‌سر
49,1395,1,1,1,0,1550000000,"آبشار تهران"
75,1402,2,1,1,1,10500000000,"سازمان برنامهبلوار شقایق جنوبی"
101,1402,2,1,1,1,14000000000,"جنت‌آباد جنوبیمیدان چهار باغ (بلوار جنت آباد جنوبی)"
69,1384,2,1,1,0,5600000000,پونک
83,1385,2,1,1,1,10700000000,"سعادت‌آبادمیدان بهرود (بلوار شاهنامه)"
101,1396,2,1,1,1,10700000000,"جنت‌آباد شمالی"
70,1385,2,1,1,0,5130000000,تهران‌سر
120,1401,2,1,1,1,5100000000,"اندیشه (شهر زیبا)"
99,1401,3,1,1,1,8300000000,آذربایجان
57,1397,1,0,1,1,3300000000,بریانک
76,1396,2,1,1,1,5700000000,تهران‌سر
115,1399,2,1,1,1,23000000000,ولنجک
74,1391,2,0,1,1,5560000000,"شهرک راه‌آهن"
64,1385,1,1,1,0,5000000000,"جنت‌آباد جنوبی"
300,1400,4,1,1,1,110000000000,زعفرانیه
53,1387,1,0,1,1,3400000000,"گرگانمیدان نامجو (خیابان نامجو)"
45,1384,1,0,1,0,2520000000,جیحون
123,1386,3,1,1,1,11850000000,"کوی فردوس"
88,1399,2,1,1,1,6500000000,"استاد معین"
125,1401,2,1,1,1,22500000000,سعادت‌آباد
190,1394,3,1,1,1,42000000000,سعادت‌آباد
165,1390,3,1,1,1,23200000000,"گیشا (کوی نصر)"
55,1400,1,1,1,1,4015000000,"سبلانخیابان سبلان شمالی (ب. امام علی)"
121,1401,2,1,1,1,15125000000,پاسداران
205,1389,3,1,1,1,52000000000,زعفرانیه
132,1370,2,1,1,0,36000000000,"شهرک غرب"
118,1401,2,1,1,1,14000000000,"جنت‌آباد جنوبیمیدان چهار باغ (بلوار جنت آباد جنوبی)"
69,1386,2,1,1,0,3750000000,جیحون
126,1398,2,1,1,1,13700000000,"جنت‌آباد مرکزی"
95,1400,2,1,1,1,9800000000,"جنت‌آباد مرکزی"
110,1399,2,1,1,1,11500000000,"جنت‌آباد مرکزی"
97,1393,2,1,1,1,9200000000,"جنت‌آباد مرکزی"
118,1401,2,1,1,1,12500000000,"جنت‌آباد مرکزی"
86,1380,2,0,1,0,7990000000,سعادت‌آباد
46,1402,1,0,1,1,2800000000,"نوابکنارگذر نواب (خ. امام خمینی)"
75,1385,2,1,1,1,7200000000,پونک
52,1385,1,0,1,1,3720000000,تهران‌سر
58,1397,2,1,1,1,2280000000,"اندیشه (شهر زیبا)"
56,1392,1,1,1,0,2600000000,"اندیشه (شهر زیبا)"
57,1390,2,0,1,0,3750000000,"طوسکوچه امام جمعه زاده (خ. دامپزشکی)"
103,1395,2,1,1,1,12000000000,پونک
65,1387,2,1,1,1,6480000000,"سازمان برنامه"
100,1395,2,1,1,1,17350000000,نیاوران
59,1392,2,1,1,0,2400000000,"اندیشه (شهر زیبا)"
98,1387,2,1,1,1,11900000000,پونک
115,1401,2,1,1,1,12700000000,صادقیه
100,1400,2,1,1,1,175000000000,اختیاریه
36,1385,0,1,1,0,4500000000,پاسداران
20,1402,0,1,1,1,580000000,چیتگر
50,1401,0,1,1,1,1400000000,چیتگر
110,1401,0,1,1,1,13200000000,هروی
36,1390,0,1,1,1,3350000000,آذربایجان
30,1401,0,1,1,1,890000000,"سرو آزادبلوار گیاهشناسی (بلوار پژوهش)"
32,1390,0,0,0,0,1300000000,شمیران‌نو
75,1400,0,1,1,1,1300000000,چیتگر
70,1400,0,1,1,1,1300000000,چیتگر
60,1401,0,1,1,1,914000000,"دریاچه شهدای خلیج فارسخیابان پارکینگ بام لند (خ. پارکینگ بام لند)"
50,1402,0,1,1,1,1530000000,چیتگر
50,1401,0,1,1,1,1415000000,"سرو آزادبلوار گیاهشناسی (بلوار پژوهش)"
47,1378,0,1,1,1,22403000000,"شهرک محلاتی"
50,1402,0,1,1,1,2500000000,چیتگر
23,1379,0,0,0,0,1700000000,آذربایجان
451,1389,0,1,1,0,23000000000,آذری
40,1392,0,0,0,1,5700000000,فرمانیه
127,1401,0,1,1,1,5700000000,چیتگر
12,1384,0,1,0,1,550000000,سوهانک
36,1393,0,1,1,1,3200000000,آذربایجان
20,1401,0,1,1,1,625000000,"سرو آزادبلوار باغ گیاه شناسی (خ. گودرزی)"
24,1377,0,0,0,0,1700000000,سلسبیل
20,1402,0,1,1,1,605000000,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
70,1400,0,1,1,1,0,چیتگر
50,1382,1,0,1,0,4450000000,"جنت‌آباد شمالی"
113,1402,3,1,1,1,12000000000,"شمس‌آبادمیدان ملت (خیابان استاد حسن بنا شمالی)"
115,1401,2,1,1,1,14950000000,هروی
96,1401,2,1,1,1,12000000000,طرشت
95,1397,2,1,1,1,2565000000,"وردآوردخیابان ایستگاه تاکسی شهر قدس (خ. ایستگاه تاکسی اسلام شهر)"
70,1380,1,0,1,0,4200000000,پرستار
60,1402,1,1,1,1,1530000000,چیتگر
53,1389,3,1,1,0,3750000000,کاروان
300,1402,4,1,1,1,115000000000,کامرانیه
168,1384,3,1,1,1,18300000000,جردن
190,1398,3,1,1,1,45000000000,سعادت‌آباد
95,1385,2,1,1,1,13600000000,سعادت‌آباد
115,1393,3,1,1,1,17300000000,سعادت‌آباد
90,1382,2,1,1,0,8700000000,"سازمان برنامه"
123,1398,2,1,1,1,10701000000,چیتگر
114,1401,2,1,1,1,7900000000,چیتگر
112,1401,2,1,1,1,8600000000,"دریاچه شهدای خلیج فارس"
130,1380,2,1,1,1,15600000000,میرداماد
50,1401,1,1,1,1,7000000000,"باغ فیضخیابان مهستان"
101,1401,2,1,1,1,14500000000,حکمت
88,1387,2,1,1,1,9000000000,پونک
83,1371,2,0,1,0,3300000000,"نظام‌آبادخیابان مدنی"
87,1400,2,1,1,1,2349000000,"مبارک‌آباد بهشتی"
145,1401,3,1,1,1,15950000000,پونک
173,1400,3,1,1,1,22000000000,اباذر
115,1399,2,1,1,1,17800000000,پاسداران
72,1380,2,1,1,0,6730000000,"المهدیخیابان امام رضا"
89,1399,2,1,1,1,2600000000,"مبارک‌آباد بهشتی"
88,1399,2,1,1,1,2523000000,"مبارک‌آباد بهشتی"
110,1400,2,1,1,1,3190000000,"مبارک‌آباد بهشتی"
53,1385,1,1,1,0,4250000000,"تهران‌نوخیابان تیموری (خ. دماوند)"
116,1401,2,1,1,1,12760000000,مرزداران
61,1392,1,1,1,1,1850000000,"اندیشه (شهر زیبا)"
44,1384,1,1,1,1,5000000000,"شهران جنوبی"
53,1386,2,1,1,0,4200000000,"تهرانپارس غربی"
75,1399,2,1,1,1,2457000000,"مبارک‌آباد بهشتی"
65,1401,1,1,1,1,2015000000,"مبارک‌آباد بهشتی"
120,1402,2,1,1,1,19500000000,ولنجک
196,1396,3,1,1,1,22900000000,اختیاریه
85,1401,2,1,1,1,15300000000,اختیاریه
137,1402,3,1,1,1,17800000000,اختیاریه
86,1387,2,1,1,0,7200000000,"شهران جنوبی"
55,1392,1,1,1,0,3200000000,مسعودیه
114,1398,2,1,1,1,14800000000,فرمانیه
80,1383,2,1,1,0,7200000000,پونک
55,1397,1,1,1,1,3800000000,"استاد معین"
61,1384,2,1,1,0,6380000000,پونک
52,1397,1,1,1,0,2020000000,"اندیشه (شهر زیبا)"
86,1380,2,1,0,1,7000000000,بهار
103,1402,2,1,1,1,9785000000,شمس‌آباد
112,1396,2,1,1,1,16300000000,فرمانیه
127,1401,3,1,1,1,16510000000,مرزداران
86,1389,2,1,1,1,10999999999,"ازگلخیابان سه‌راه اقدسیه (خیابان پاسداران)"
128,1402,2,1,1,1,18400000000,قبا
90,1402,2,1,1,1,1890000000,"سعیدآبادجاده سعید آباد (خیابان برادران اصغری)"
75,1402,2,1,1,1,9400000000,جلفا
160,1394,3,1,1,1,25500000000,اوین
50,1390,1,1,1,0,1490000000,"اندیشه (شهر زیبا)"
104,1401,2,1,1,1,11500000000,کوهک
50,1390,1,1,1,1,4950000000,"شهران جنوبی"
91,1395,1,1,1,1,5300000000,"شهران شمالی"
152,1401,3,1,1,1,21000000000,اباذر
70,1398,1,0,1,1,6550000000,هروی
120,1402,2,1,1,1,23000000000,کاشانک
91,1378,2,1,1,0,8900000000,امیرآباد
100,1401,2,1,1,1,1750000000,"دریاچه شهدای خلیج فارس"
88,1391,2,1,1,1,8450000000,"تهرانپارس غربیخیابان آهنی آمینه (خ. فرجام)"
190,1370,4,0,1,0,12500000000,"ستارخانخیابان باقرخان (ب. چمران)"
73,1386,2,1,1,1,6900000000,"کوی فردوس"
42,1395,1,0,1,1,1580000000,"اندیشه (شهر زیبا)"
43,1385,1,0,1,0,3250000000,"تهرانپارس شرقی"
50,1401,0,1,1,1,1400000000,چیتگر
72,1384,2,1,1,1,6700000000,ستارخان
63,1381,1,1,1,1,5550000000,ستارخان
230,1401,4,1,1,1,28000000000,اباذر
250,1402,4,1,1,1,33750000000,"کوی فردوس"
93,1401,2,1,1,1,7440000000,تهران‌سر
133,1401,2,1,1,1,8000000000,"سرو آزادکنارگذر خرازی (بزرگراه خرازی)"
128,1393,3,1,1,1,12800000000,"تهرانپارس غربیخیابان سجده ای شمالی (خ. زفرقندی)"
155,1370,3,1,1,1,24000000000,"شهرک غرب"
90,1398,2,1,1,1,2520000000,"مبارک‌آباد بهشتی"
75,1402,2,1,1,1,2000000000,سلسبیل
105,1380,2,1,1,0,8550000000,اقدسیه
45,1379,1,0,1,0,2000000000,سلسبیل
49,1370,1,0,0,0,2150000000,سلیمانی
98,1400,2,1,1,1,2565000000,"مبارک‌آباد بهشتی"
60,1401,1,1,1,1,4500000000,"تهرانپارس شرقی"
52,1387,1,1,1,1,4300000000,"شهر زیبا"
100,1392,2,1,1,1,7500000000,"تهرانپارس غربی"
220,1398,3,1,1,1,36800000000,فرمانیه
240,1400,3,1,1,1,45600000000,نیاوران
200,1390,3,1,1,1,32500000000,دروس
210,1401,3,1,1,1,69300000000,نیاوران
148,1401,2,1,1,1,18500000000,سوهانک
50,1397,1,1,1,1,1600000000,"اندیشه (شهر زیبا)"
180,1402,3,1,1,1,4590000000,چیتگر
